Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,MSAuthor,GitHubAuthor
Explore Azure App Service deployment slots,https://docs.microsoft.com/en-us/learn/modules/understand-app-service-deployment-slots/,7,4551,37644,72.43%,4100,1479,1567,,829.5677777777778,21.95591824731657,21,4.771186440677966,118,,,azure;azure-app-service,developer,intermediate,jeffko,wwlpublish
Explore Dynamics 365 Customer Service,https://docs.microsoft.com/en-us/learn/modules/examine-dynamics-365-customer-service/,6,2052,12802,62.38%,1806,562,537,,329.03694444444443,19.279508463541667,21,4.696969696969697,33,,,dynamics-customer-service,business-owner;business-user;functional-consultant;student,beginner,ceabrams,wwlpublish
Explore Microsoft Graph,https://docs.microsoft.com/en-us/learn/modules/microsoft-graph/,7,2203,17883,76.01%,1887,716,765,2,263.53277777777777,14.374515151515151,21,4.5,24,,,azure-sdks;ms-graph,developer,intermediate,jeffko,wwlpublish
Explore the Microsoft identity platform,https://docs.microsoft.com/en-us/learn/modules/explore-microsoft-identity-platform/,7,2727,22616,63.51%,2547,804,852,2,629.1572222222222,27.797815414825724,21,4.65,20,,,azure-active-directory;microsoft-identity-web,developer,intermediate,jeffko,wwlpublish
Gain insights through reporting in Microsoft Defender for Endpoint,https://docs.microsoft.com/en-us/learn/modules/m365-gain-insights-reporting-defender-endpoint/,6,338,2060,74.05%,264,97,104,,24.741944444444446,8.83640873015873,21,4.933333333333334,15,,,m365;m365-ems-cloud-app-security;m365-threat-protection,security-operations-analyst;security-engineer,beginner,beccarobins,beccarobins
Get started securing your Microsoft Teams environment,https://docs.microsoft.com/en-us/learn/modules/m365-teams-secure-environment/,7,471,2920,62.38%,405,126,117,,27.102222222222224,6.919716312056738,21,5,4,,,office-teams;m365,administrator,intermediate,teleary,temanteleary
Get started with Azure Databricks,https://docs.microsoft.com/en-us/learn/modules/get-started-azure-databricks/,7,1776,11792,45.44%,1522,344,325,2,311.0686111111111,21.11325414781297,21,4.8,10,,,azure-databricks,data-scientist,intermediate,gmalc,wwlpublish
Implement Azure App Configuration,https://docs.microsoft.com/en-us/learn/modules/implement-azure-app-configuration/,7,1713,14390,76.63%,1569,600,676,,250.55333333333334,17.623915592028137,21,4.222222222222222,18,,,azure-app-configuration,developer,intermediate,jeffko,wwlpublish
Implement Azure Key Vault,https://docs.microsoft.com/en-us/learn/modules/implement-azure-key-vault/,7,2079,16050,74.45%,1914,711,746,1,265.6611111111111,15.37094181935069,21,4.588235294117647,17,,,azure-key-vault,developer,intermediate,jeffko,wwlpublish
Implement managed identities,https://docs.microsoft.com/en-us/learn/modules/implement-managed-identities/,7,1835,15692,77.92%,1698,660,717,2,276.2452777777778,18.114444444444445,21,4.571428571428571,14,,,azure,developer,intermediate,jeffko,wwlpublish
Intro to IoT Central,https://docs.microsoft.com/en-us/learn/modules/examine-azure-iot-central-application-architecture/,7,645,3110,38.32%,334,64,73,,53.81111111111111,10.026915113871636,21,5,4,,,azure;azure-iot-central,developer,intermediate,cahowd,wwlpublish
Introduction to Azure DevOps,https://docs.microsoft.com/en-us/learn/modules/get-started-with-devops/,5,11011,51060,44.69%,7469,1665,1486,17,1264.9316666666666,13.83951495258935,21,4.806603773584905,212,,,azure-devops,devops-engineer;administrator;developer;solution-architect,beginner,thpetche,tpetchel
Introduction to Azure VMware Solution,https://docs.microsoft.com/en-us/learn/modules/intro-azure-vmware-solution/,5,475,2202,31.43%,351,55,48,1,79.57166666666667,20.144725738396623,21,4.571428571428571,7,,,azure-vmware-solution,administrator;solution-architect,beginner,phschmit,exchangegoddess
Introduction to Custom Commands,https://docs.microsoft.com/en-us/learn/modules/introduction-to-custom-commands/,6,106,326,44.44%,36,8,9,,3.453611111111111,3.909748427672956,21,,,,,azure;azure-cognitive-services,ai-engineer;data-scientist;developer;solution-architect;student,beginner,jasdeb,TomReidNZ
