Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,MSAuthor,GitHubAuthor
Facilitate meetings and events with Microsoft Teams,https://docs.microsoft.com/en-us/learn/modules/facilitate-meetings-events-microsoft-teams/,7,79186,250139,10.38%,40904,2124,915,11,2211.945,3.3606821807500444,36,4.836363636363636,110,,,m365;office-teams,business-analyst;business-owner;business-user;student,beginner,tishaha,wwlpublish
Fundamentals of network security,https://docs.microsoft.com/en-us/learn/modules/network-fundamentals-2/,6,2441,10836,39.18%,1367,266,272,3,347.64222222222224,17.153399122807016,36,4.733333333333333,30,,,azure,administrator;solution-architect;developer,beginner,chrvaw,cryophobia
Get started with Customer Data Platform,https://docs.microsoft.com/en-us/learn/modules/get-started-customer-data-platform/,6,1310,6666,36.53%,1007,183,167,1,148.1475,13.633205521472393,36,4.666666666666667,15,,,dynamics-365;dynamics-cust-insights,business-analyst;functional-consultant,intermediate,dbeasley,DaveBeasley
Get started with Dynamics 365 Customer Service,https://docs.microsoft.com/en-us/learn/modules/get-started-with-dynamics-365-for-customer-service/,5,2944,14056,33.84%,2108,355,277,1,417.17333333333335,17.027482993197278,36,4.583333333333333,24,,,dynamics-365;dynamics-customer-service,business-user;functional-consultant,beginner,kschimke,KevSch
Get started with TypeScript,https://docs.microsoft.com/en-us/learn/modules/typescript-get-started/,8,6358,31006,21.82%,4348,474,330,6,726.1255555555556,13.743701366982124,36,4.806451612903226,62,,,vs-code,developer;student,beginner,chnoring,GeekTrainer
Get started with warehouse management in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/get-started-warehouse-management/,9,268,1594,33.33%,186,31,23,,23.929166666666667,10.71455223880597,36,5,2,,,dynamics-365;dynamics-business-central,functional-consultant;business-user,intermediate,kschimke,KevSch
Give and receive effective feedback,https://docs.microsoft.com/en-us/learn/modules/give-receive-effective-feedback/,8,390,2584,62.60%,262,82,93,,32.20194444444444,9.908290598290598,36,4.125,8,,,azure;vs-code,developer;student,beginner,chnoring,interurban
How to build a basic chatbot,https://docs.microsoft.com/en-us/learn/modules/how-build-basic-chatbot/,8,11416,93870,64.97%,9715,3148,3090,5,1501.3147222222221,15.836653187998124,36,4.832089552238806,268,,,power-platform;power-virtual-agents,business-analyst;developer;maker,beginner,chsims,wwlpublish
Identify project lifecycle management capabilities in Microsoft Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/modules/identify-project-operations-capabilities/,9,683,5642,58.10%,569,165,156,1,147.87666666666667,26.019354838709678,36,5,8,,,dynamics-365;dynamics-project-operations,business-owner;business-user;functional-consultant;student,beginner,ceabrams,wwlpublish
Implement policy tips for DLP policies,https://docs.microsoft.com/en-us/learn/modules/implement-policy-tips-for-dlp-policies/,8,156,950,72.73%,110,40,45,,15.770833333333334,12.131410256410257,36,5,4,,,azure-active-directory;m365;office-365,administrator;security-engineer;solution-architect;technology-manager,intermediate,tfrink,wwlpublish
Ingest Data into Azure Digital Twins,https://docs.microsoft.com/en-us/learn/modules/ingest-data-into-azure-digital-twins/,9,2,8,0.00%,2,0,,,2.4161111111111113,144.96666666666667,36,,,,,azure;azure-iot,developer;solution-architect,beginner,teodelas,Teodelas
Introduction to MLOps for IoT Edge,https://docs.microsoft.com/en-us/learn/modules/intro-mlops-iot-edge/,6,535,2636,29.41%,306,45,37,2,60.13583333333333,13.513670411985018,36,5,3,,,azure-iot-edge,ai-edge-engineer,beginner,chnoring,leestott
Leading for equity 101—Prepare your school for equity,https://docs.microsoft.com/en-us/learn/modules/prepare-your-school-for-equity/,8,,,,,,,,,,36,,,,,office-365;windows;office-word,k-12-educator;school-leader,intermediate,abdewees,mec-sa
Leading for equity 201—Prepare your school for community engagement,https://docs.microsoft.com/en-us/learn/modules/prepare-your-school-for-community-engagement/,7,,,,,,,,,,36,,,,,office-teams;office-365;office-word,k-12-educator;school-leader;parent-guardian,intermediate,abdewees,mec-sa
