Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
Manage the lifecycle of your projects on GitHub,https://docs.microsoft.com/en-us/learn/paths/manage-project-lifecycle-github/,6,6037,45282,35.66%,1363,486,484,1727,14.882822594003644,1624,358,learn.manage-project-lifecycle-github,devops-engineer;administrator;developer;solution-architect,github,intermediate,thpetche,tpetchel
Manage identities and governance for Azure administrators,https://docs.microsoft.com/en-us/learn/paths/azure-administrator-manage-identities-governance/,14,43446,464515,35.17%,691,243,255,1727,29.580147769645077,1059,496,learn.azure-admin-manage-identities-governance,administrator,azure;azure-active-directory;azure-rbac;azure-resource-manager;azure-cost-management,beginner,cwatson,cwatson-cat
AZ-204: Implement secure cloud solutions,https://docs.microsoft.com/en-us/learn/paths/az-204-implement-secure-cloud-solutions/,3,3288,44131,35.08%,2819,989,1120,1727,31.889512368207622,289,63,learn.wwl.az-204-implement-secure-cloud-solutions,developer,azure;azure-app-configuration;azure-key-vault;azure-rbac,intermediate,jeffko,wwlpublish
AZ-204: Develop message-based solutions,https://docs.microsoft.com/en-us/learn/paths/az-204-develop-message-based-solutions/,1,2886,21913,34.72%,2604,904,1045,1727,23.32600485100485,245,30,learn.wwl.az-204-develop-message-based-solutions,developer,azure-queue-storage;azure-service-bus,intermediate,jeffko,wwlpublish
Monitor and troubleshoot Azure for SAP workloads,https://docs.microsoft.com/en-us/learn/paths/monitor-troubleshoot-azure-for-sap-workloads/,3,151,1528,34.00%,100,34,35,1727,8.075938189845475,27,89,learn.wwl.monitor-troubleshoot-azure-for-sap-workloads,administrator;solution-architect,azure,advanced,eric,wwlpublish
Process and Translate Speech with Azure Cognitive Speech Services,https://docs.microsoft.com/en-us/learn/paths/process-translate-speech-azure-cognitive-speech-services/,2,1714,18222,33.87%,1181,400,434,1727,16.805921820303382,1538,105,learn.wwl.process-translate-speech-azure-cognitive-speech-services,ai-engineer;developer,azure;azure-cognitive-services,intermediate,gmalc,wwlpublish
AZ-204: Implement API Management,https://docs.microsoft.com/en-us/learn/paths/az-204-implement-api-management/,1,3713,27909,33.68%,3302,1112,1272,1727,21.331093455426878,324,37,learn.wwl.az-204-implement-api-management,developer,azure-api-management,intermediate,jeffko,wwlpublish
Implement knowledge mining with Azure Cognitive Search,https://docs.microsoft.com/en-us/learn/paths/implement-knowledge-mining-azure-cognitive-search/,3,1205,16917,33.20%,1036,344,382,1727,24.727053941908714,715,155,learn.wwl.implement-knowledge-mining-azure-cognitive-search,ai-engineer;developer;solution-architect,azure;azure-cognitive-services;azure-sdks;azure-cognitive-search,intermediate,gmalc,wwlpublish
AZ-204: Integrate caching and content delivery within solutions,https://docs.microsoft.com/en-us/learn/paths/az-204-integrate-caching-content-delivery-within-solutions/,2,2929,26229,32.87%,2589,851,968,1727,21.699072493456242,233,39,learn.wwl.az-204-integrate-caching-content-delivery-within-solutions,developer,azure-cache-redis;azure-queue-storage,intermediate,jeffko,wwlpublish
MIE Trainer academy,https://docs.microsoft.com/en-us/learn/paths/mie-trainer-academy-learning-path/,8,12075,291057,32.56%,3234,1053,1168,1727,13.509991718426502,569,479,learn.mec.mie-trainer-academy-learning-path,k-12-educator;school-leader,flipgrid;office-teams;office-onenote,intermediate,abdewees,mec-sa
Design and implement a replication strategy for Azure Cosmos DB SQL API,https://docs.microsoft.com/en-us/learn/paths/design-implement-replication-strategy-cosmos-db-sql-api/,3,158,1913,31.13%,106,33,41,1727,19.08945147679325,10,116,learn.wwl.design-implement-replication-strategy-cosmos-db-sql-api,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
AZ-204: Develop event-based solutions,https://docs.microsoft.com/en-us/learn/paths/az-204-develop-event-based-solutions/,2,3322,37407,31.06%,2836,881,1003,1727,34.458544049769216,270,54,learn.wwl.az-204-develop-event-based-solutions,developer,azure-event-grid;azure-event-hubs,intermediate,jeffko,wwlpublish
Bring AI to your business with AI Builder,https://docs.microsoft.com/en-us/learn/paths/bring-ai/,2,3696,20923,30.63%,1590,487,530,1727,11.872668650793651,2392,47,learn-bizapps.bring-ai,maker;business-user,ai-builder,beginner,robde,heyrob
Define and implement an indexing strategy for Azure Cosmos DB SQL API,https://docs.microsoft.com/en-us/learn/paths/define-implement-indexing-strategy-cosmos-db-sql-api/,2,166,1422,30.20%,149,45,49,1727,25.56024096385542,16,83,learn.wwl.define-implement-indexing-strategy-cosmos-db-sql-api,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
Introduction to AI technology for business leaders,https://docs.microsoft.com/en-us/learn/paths/ai-technology-for-business-leaders/,2,1875,13441,30.13%,521,157,164,1727,9.94055111111111,2654,91,learn.ai-technology-for-business-leaders,functional-consultant;business-user,azure;dynamics-365;m365,beginner,rawortma,RWortmanMorris
AZ-204: Implement user authentication and authorization,https://docs.microsoft.com/en-us/learn/paths/az-204-implement-authentication-authorization/,4,4213,63326,30.12%,3469,1045,1190,1727,38.886308252235146,356,85,learn.wwl.az-204-implement-authentication-authorization,developer,azure-sdks;microsoft-identity-web,intermediate,jeffko,wwlpublish
Collaborate with others with Markdown and GitHub Pages,https://docs.microsoft.com/en-us/learn/paths/collaborate-markdown-github-pages/,3,5552,31358,30.08%,1087,327,354,1727,12.655541546589818,1110,206,learn.collaborate-markdown-github-pages,devops-engineer;administrator;developer;solution-architect;student,github,beginner,thpetche,tpetchel
Monitor and troubleshoot an Azure Cosmos DB SQL API solution,https://docs.microsoft.com/en-us/learn/paths/monitor-troubleshoot-azure-cosmos-db-sql-api-solution/,4,172,2351,30.00%,110,33,36,1727,27.760562015503876,10,195,learn.wwl.monitor-troubleshoot-azure-cosmos-db-sql-api-solution,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
Manage Identity and Access for Azure Stack Hub,https://docs.microsoft.com/en-us/learn/paths/manage-identity-access-for-azure-stack-hub/,2,104,808,29.79%,47,14,16,1727,10.260897435897435,10,107,learn.wwl.manage-identity-access-for-azure-stack-hub,administrator;solution-architect,azure;azure-stack;azure-stack-hub,advanced,bradj,wwlpublish
Create a Language Understanding solution,https://docs.microsoft.com/en-us/learn/paths/create-language-understanding-solution/,3,1433,20415,29.74%,1224,364,397,1727,23.319923237962318,264,148,learn.wwl.create-language-understanding-solution,ai-engineer;developer,azure-cognitive-services;azure-language-understanding,intermediate,gmalc,wwlpublish
Explore the foundations of identity and governance for SAP on Azure,https://docs.microsoft.com/en-us/learn/paths/explore-foundations-of-identity-governance/,3,170,2819,29.05%,148,43,45,1727,35.008823529411764,36,180,learn.wwl.explore-foundations-of-identity-governance,administrator;solution-architect,azure,advanced,eric,wwlpublish
Connect to Azure Cosmos DB SQL API with the SDK,https://docs.microsoft.com/en-us/learn/paths/connect-to-azure-cosmos-db-sql-api-sdk/,2,254,2556,29.03%,217,63,69,1727,16.48438320209974,18,89,learn.wwl.connect-to-azure-cosmos-db-sql-api-sdk,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
Execute queries in Azure Cosmos DB SQL API,https://docs.microsoft.com/en-us/learn/paths/execute-queries-azure-cosmos-db-sql-api/,2,212,2171,28.98%,176,51,57,1727,16.289072327044025,33,110,learn.wwl.execute-queries-azure-cosmos-db-sql-api,developer,azure-cosmos-db,intermediate,calopez,wwlpublish
