Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
Implement Mobile Device Management in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/implement-mobile-device-management-microsoft-365/,4,645,5625,16.61%,301,50,56,1719,22.27121447028424,218,126,learn.wwl.implement-mobile-device-management-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
Sell items and services in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/sell-items-services-dynamics-365-business-central/,5,1047,12776,16.60%,506,84,83,1719,32.62766634829672,752,312,learn-dynamics.sell-items-services-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Master advanced formula techniques and custom updates,https://docs.microsoft.com/en-us/learn/paths/understand-advanced-topics/,6,2058,24424,16.56%,1383,229,193,1719,32.6703514739229,2762,264,learn-bizapps.understand-advanced-topics,functional-consultant;maker,power-platform;power-apps;common-data-service;vs-code,advanced,dbeasley,DaveBeasley
Work like a pro with data in Business Central,https://docs.microsoft.com/en-us/learn/paths/work-pro-data-dynamics-365-business-central/,3,515,4612,16.49%,291,48,43,1719,17.0336569579288,717,154,learn-dynamics.work-pro-data-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Get started with Microsoft Viva Insights (Workplace Analytics),https://docs.microsoft.com/en-us/learn/paths/m365-workplace-analytics-start/,4,1693,12355,16.48%,801,132,137,1719,15.900492222878519,876,151,learn-m365.workplace-analytics-get-started,business-analyst;data-analyst;business-owner,m365;m365-workplace-analytics;power-bi,beginner,teleary,madehmer
Manage fixed asset maintenance and insurances in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/manage-fixed-assets-maintenance-insurances/,4,152,1128,16.44%,73,12,12,1719,12.532017543859649,113,112,learn-dynamics.manage-fixed-assets-maintenance-insurances,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Manage your Microsoft 365 security services,https://docs.microsoft.com/en-us/learn/paths/manage-your-microsoft-365-security-services/,5,876,9826,16.44%,365,60,76,1719,23.6117199391172,322,156,learn.wwl.manage-your-microsoft-365-security-services,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
Purchase items and services in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/purchase-items-services-dynamics-365-business-central/,5,1079,11446,16.41%,579,95,98,1719,27.16467408093914,737,190,learn-dynamics.purchase-items-services-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Use serial and lot numbers in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/use-serial-lot-numbers/,5,200,1721,16.28%,86,14,14,1719,16.4755,133,171,learn-dynamics.use-serial-lot-numbers,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Extend Microsoft 365 – Fundamental,https://docs.microsoft.com/en-us/learn/paths/m365-extend-fundamental/,4,6382,73396,16.25%,3434,558,885,1719,15.951211741355896,6396,169,learn-m365.m365-extend-fundamental,developer,m365;office-teams;office-sp-framework;office-add-ins,beginner,suzanz,andrewconnell-msft
Administer Power Apps portals,https://docs.microsoft.com/en-us/learn/paths/administer-portals/,4,1935,10873,16.23%,764,124,138,1719,14.62842377260982,780,77,learn-bizapps.administer-power-apps-portals,maker;functional-consultant;administrator;developer;solution-architect,power-platform;power-apps,advanced,dbeasley,DaveBeasley
Configure and work with call centers in Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/paths/configure-work-call-centers-commerce/,2,172,1097,16.22%,148,24,24,1719,14.762596899224807,89,125,learn-dynamics.configure-work-call-centers-commerce,functional-consultant;business-user;administrator,dynamics-365;dynamics-commerce,intermediate,cstorega,cstorega
AZ-400: Work with Git for enterprise DevOps,https://docs.microsoft.com/en-us/learn/paths/az-400-work-git-for-enterprise-devops/,6,1574,19011,16.20%,1420,230,256,1719,30.309614570097416,67,103,learn.wwl.az-400-work-git-for-enterprise-devops,administrator;developer;devops-engineer;security-engineer;security-operations-analyst;service-adoption-specialist;solution-architect;technology-manager,azure;azure-artifacts;azure-boards;azure-cloud-services;azure-devops;azure-pipelines;azure-repos;azure-test-plans;github,advanced,lumac,wwlpublish
Prepare for device management in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/prepare-for-device-management-microsoft-365/,5,817,6932,16.15%,452,73,80,1719,21.946062831497347,294,142,learn.wwl.prepare-for-device-management-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
AZ-305: Design infrastructure solutions,https://docs.microsoft.com/en-us/learn/paths/design-infranstructure-solutions/,4,2224,27185,16.15%,1839,297,333,1719,35.03965827338129,185,120,learn.wwl.design-infranstructure-solutions,solution-architect,azure,advanced,cynthist,wwlpublish
SC-400: Implement Data Loss Prevention,https://docs.microsoft.com/en-us/learn/paths/implement-data-loss-prevention/,3,1402,13076,16.10%,733,118,126,1719,22.236590584878744,661,118,learn.wwl.implement-data-loss-prevention,auditor;ip-admin;risk-practitioner,m365;m365-information-protection,intermediate,bneeb,wwlpublish
Design and configure Microsoft Teams Rooms,https://docs.microsoft.com/en-us/learn/paths/m365-teams-rooms/,8,1294,14530,16.10%,584,94,103,1719,14.442027305512623,1144,267,learn-m365.m365-teams-rooms,administrator,m365;office-teams,intermediate,teleary,AlexandraHrt
Get up and running quickly with Microsoft Vaccination Management,https://docs.microsoft.com/en-us/learn/paths/vaccination-management/,8,156,1401,16.07%,56,9,9,1719,9.161965811965812,5,242,learn-bizapps.vaccination-management,business-user;functional-consultant,industry-solutions;mscloud-healthcare,intermediate,dbeasley,DaveBeasley
Manage your enterprise deployment with Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/manage-enterprise-deployment-m365/,6,3869,26703,16.06%,1656,266,297,1719,18.227328336348755,5957,157,learn-m365.manage-enterprise-deployment-m365,administrator,m365,beginner,teleary,dahans-msft2
Manage data governance in Microsoft 365,https://docs.microsoft.com/en-us/learn/paths/manage-data-governance-microsoft-365/,5,272,2835,16.06%,193,31,33,1719,25.92126225490196,173,155,learn.wwl.manage-data-governance-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
Work with data in a Power Apps canvas app,https://docs.microsoft.com/en-us/learn/paths/work-with-data-in-a-canvas-app/,3,4477,20654,16.00%,894,143,139,1719,12.9643436825255,2536,168,learn-bizapps.work-with-data-in-a-canvas-app,business-user;functional-consultant;maker,power-platform;power-apps,intermediate,kschimke,KevSch
Explore the Microsoft 365 platform services,https://docs.microsoft.com/en-us/learn/paths/explore-microsoft-365-platform-services/,8,2134,28317,15.92%,829,132,154,1719,30.70795064042487,434,268,learn.wwl.explore-microsoft-365-platform-services,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate,tfrink,wwlpublish
AZ-400: Develop a security and compliance plan,https://docs.microsoft.com/en-us/learn/paths/az-400-develop-security-compliance-plan/,11,48135,639902,15.87%,1008,160,155,1719,38.503954849208824,2745,428,learn.az-400-develop-security-compliance-plan,devops-engineer;administrator;developer;solution-architect;security-engineer,azure;azure-active-directory;azure-key-vault;azure-api-management;azure-monitor,beginner,thpetche,tpetchel
Migrate data and go live with Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/migrate-data-go-live-finance-operations/,4,2161,21782,15.80%,1019,161,172,1719,36.99140058614839,1840,258,learn-dynamics.migrate-data-go-live-with-dynamics-365-finance-ops,functional-consultant;developer;solution-architect,dynamics-365;dynamics-finance-operations,intermediate,cstorega,cstorega
