Order,ModuleUrl,Uid,Url,Certification,LearningPathUrl,Title,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,Month,Year
795,https://docs.microsoft.com/en-us/learn/modules/explore-azure-synapse-studio/,learn.wwl.explore-azure-synapse-studio,/learn/modules/explore-azure-synapse-studio/,dp-203,https://docs.microsoft.com/en-us/learn/paths/realize-integrated-analytical-solutions-with-azure-synapse-analytics/,Explore Azure Synapse Studio,10,"1,446","13,484",63.36%,"1,168",740,801,2.0,447.8502778,18.58299908,43,4.65,20,,,azure-synapse-analytics,data-engineer,beginner,9,2021
796,https://docs.microsoft.com/en-us/learn/modules/understand-big-data-engineering-with-apache-spark-azure-synapse-analytics/,learn.wwl.understand-big-data-engineering-with-apache-spark-azure-synapse-analytics,/learn/modules/understand-big-data-engineering-with-apache-spark-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/perform-data-engineering-with-azure-synapse-apache-spark-pools/,Understand big data engineering with Apache Spark in Azure Synapse Analytics,6,767,"4,465",60.42%,662,400,412,,192.5038889,15.05897436,18,4.625,8,,,azure-synapse-analytics,data-engineer,intermediate,9,2021
797,https://docs.microsoft.com/en-us/learn/modules/transform-data-with-dataframes-apache-spark-pools-azure-synapse-analytics/,learn.wwl.transform-data-with-dataframes-apache-spark-pools-azure-synapse-analytics,/learn/modules/transform-data-with-dataframes-apache-spark-pools-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/perform-data-engineering-with-azure-synapse-apache-spark-pools/,Transform data with DataFrames in Apache Spark Pools in Azure Synapse Analytics,9,616,"5,024",66.40%,494,328,359,,157.6575,15.35625,29,4.25,8,,,azure-synapse-analytics,data-engineer,intermediate,9,2021
798,https://docs.microsoft.com/en-us/learn/modules/monitor-manage-data-engineering-workloads-apache-spark-azure-synapse-analytics/,learn.wwl.monitor-manage-data-engineering-workloads-with-apache-spark-azure-synapse-analyt,/learn/modules/monitor-manage-data-engineering-workloads-apache-spark-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/perform-data-engineering-with-azure-synapse-apache-spark-pools/,Monitor and manage data engineering workloads with Apache Spark in Azure Synapse Analytics,7,486,"3,640",77.18%,412,318,348,,126.2313889,15.58412209,21,4.2,10,,,azure-synapse-analytics,data-engineer,intermediate,9,2021
799,https://docs.microsoft.com/en-us/learn/modules/ingest-data-with-apache-spark-notebooks-azure-synapse-analytics/,learn.wwl.ingest-data-with-apache-spark-notebooks-azure-synapse-analytics,/learn/modules/ingest-data-with-apache-spark-notebooks-azure-synapse-analytics/,dp-203,https://docs.microsoft.com/en-us/learn/paths/perform-data-engineering-with-azure-synapse-apache-spark-pools/,Ingest data with Apache Spark notebooks in Azure Synapse Analytics,14,762,"9,004",56.33%,648,365,403,1.0,296.7894444,23.36924759,42,4.909090909,11,,,azure-synapse-analytics,data-engineer,intermediate,9,2021
800,https://docs.microsoft.com/en-us/learn/modules/receive-data-with-azure-data-share-transforming-with-azure-data-factory/,learn.wwl.receive-data-with-azure-data-share-transforming-with-azure-data-factory,/learn/modules/receive-data-with-azure-data-share-transforming-with-azure-data-factory/,dp-203,https://docs.microsoft.com/en-us/learn/paths/data-integration-scale-azure-data-factory/,Send and receive data using Azure Data Share and transform data using Azure Data Factory,13,"1,244","13,852",61.72%,"1,037",640,692,3.0,504.0802778,24.31255359,39,4.529411765,17,,,azure-data-share,data-engineer,intermediate,9,2021
801,https://docs.microsoft.com/en-us/learn/modules/populate-slowly-changing-dimensions-azure-synapse-analytics-pipelines/,learn.wwl.populate-slowly-changing-dimensions-azure-synapse-analytics-pipelines,/learn/modules/populate-slowly-changing-dimensions-azure-synapse-analytics-pipelines/,dp-203,https://docs.microsoft.com/en-us/learn/paths/data-integration-scale-azure-data-factory/,Populate slowly changing dimensions in Azure Synapse Analytics pipelines,6,"2,152","12,453",44.51%,"1,912",851,901,4.0,643.02,17.92806691,29,4.46875,32,,,azure-data-factory;azure-synapse-analytics,data-engineer,intermediate,9,2021
802,https://docs.microsoft.com/en-us/learn/modules/petabyte-scale-ingestion-azure-data-factory/,learn.wwl.petabyte-scale-ingestion-azure-data-factory,/learn/modules/petabyte-scale-ingestion-azure-data-factory/,dp-203,https://docs.microsoft.com/en-us/learn/paths/data-integration-scale-azure-data-factory/,Petabyte-scale ingestion with Azure Data Factory,9,"2,078","19,347",61.60%,"1,737","1,070","1,126",4.0,970.5883332999998,28.0246872,43,4.6,35,,,azure-data-factory;azure-synapse-analytics,data-engineer;data-scientist,beginner,9,2021
803,https://docs.microsoft.com/en-us/learn/modules/code-free-transformation-scale/,learn.wwl.perform-code-free-transformation-scale-azure-data-factory,/learn/modules/code-free-transformation-scale/,dp-203,https://docs.microsoft.com/en-us/learn/paths/data-integration-scale-azure-data-factory/,Code-free transformation at scale with Azure Data Factory,10,"1,794","17,301",55.64%,"1,515",843,928,1.0,1073.33,35.89732441,58,4.064516128999999,31,,,azure-data-factory;azure-synapse-analytics,data-engineer;data-scientist,beginner,9,2021
804,https://docs.microsoft.com/en-us/learn/modules/orchestrate-data-movement-transformation-azure-data-factory/,learn.wwl.orchestrate-data-movement-transformation-azure-data-factory,/learn/modules/orchestrate-data-movement-transformation-azure-data-factory/,dp-203,https://docs.microsoft.com/en-us/learn/paths/data-integration-scale-azure-data-factory/,Orchestrating data movement and transformation in Azure Data Factory,9,"1,996","16,687",59.71%,"1,628",972,"1,039",1.0,877.0691667000001,26.36480461,46,4.324324324,37,,,azure-data-factory;azure-synapse-analytics,data-engineer;data-scientist,intermediate,9,2021
