,ModuleUrl,Uid,Url,Certification,LearningPathUrl,Title,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels,Month,Year
1667,https://docs.microsoft.com/en-us/learn/modules/get-more-done-with-office-across-devices/,learn.wwl.get-more-done-with-office-across-devices,/learn/modules/get-more-done-with-office-across-devices/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-productivity-teamwork-solutions/,Get more done with Office across all devices,6,"8,824","60,540",77.19%,"7,743","2,972","3,110",11,946.6919444,12.9153062,19,4.811518325,191,,,m365;office-365,business-owner;business-user,beginner,11,2021
1668,https://docs.microsoft.com/en-us/learn/modules/file-storage-sharing-with-onedrive-sharepoint/,learn.wwl.file-storage-sharing-with-onedrive-sharepoint,/learn/modules/file-storage-sharing-with-onedrive-sharepoint/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-productivity-teamwork-solutions/,File storage and sharing with OneDrive and SharePoint,5,"10,413","60,287",70.64%,"8,937","3,138","3,204",2,789.7625,9.121414822,24,4.803225806,310,,,m365;office-365,business-owner;business-user,beginner,11,2021
1669,https://docs.microsoft.com/en-us/learn/modules/identify-licensing-options-available-microsoft-365/,learn.wwl.identify-licensing-options-available-microsoft-365,/learn/modules/identify-licensing-options-available-microsoft-365/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-licensing-service-support/,Identify licensing options available in Microsoft 365,9,"5,496","52,963",73.58%,"5,068","1,860","1,949",6,607.0169444,13.27780411,16,4.840336134,119,,,m365;office-365,business-owner;business-user,beginner,11,2021
1670,https://docs.microsoft.com/en-us/learn/modules/describe-support-offerings-for-microsoft-365-services/,learn.wwl.describe-support-offerings-for-microsoft-365-services,/learn/modules/describe-support-offerings-for-microsoft-365-services/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-licensing-service-support/,Describe support offerings for Microsoft 365 services,7,"4,746","38,901",79.70%,"4,376","1,735","1,842",4,399.4188889,10.12041104,17,4.813084112,107,,,m365;office-365,business-owner;business-user,beginner,11,2021
1671,https://docs.microsoft.com/en-us/learn/modules/describe-service-life-cycle-microsoft-365/,learn.wwl.describe-service-life-cycle-microsoft-365,/learn/modules/describe-service-life-cycle-microsoft-365/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-licensing-service-support/,Describe the service life cycle in Microsoft 365,6,"5,123","34,886",73.96%,"4,638","1,707","1,829",3,261.4583333,6.137519562,8,4.834951456,103,,,m365;office-365,business-owner;business-user,beginner,11,2021
1672,https://docs.microsoft.com/en-us/learn/modules/select-a-cloud-deployment-model/,learn-m365.select-a-cloud-deployment-model-for-m365,/learn/modules/select-a-cloud-deployment-model/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-licensing-service-support/,Select a cloud deployment model,6,"4,755","33,059",79.26%,"4,266","1,682","1,795",1,305.0977778,7.710980062,9,4.83974359,156,,,m365,administrator,beginner,11,2021
1673,https://docs.microsoft.com/en-us/learn/modules/simplify-device-management-with-microsoft-endpoint-manager/,learn.wwl.simplify-device-management-with-microsoft-endpoint-manager,/learn/modules/simplify-device-management-with-microsoft-endpoint-manager/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-business-management-solutions/,Simplify device management with Microsoft Endpoint Manager,8,"13,144","120,534",82.87%,"12,064","4,984","5,707",6,1558.888056,14.26029629,27,4.839506173,243,,,m365;office-365,business-owner;business-user;student,beginner,11,2021
1674,https://docs.microsoft.com/en-us/learn/modules/manage-your-business-with-microsoft-365/,learn.wwl.manage-your-business-with-microsoft-365,/learn/modules/manage-your-business-with-microsoft-365/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-business-management-solutions/,Manage your business with Microsoft 365,10,"9,418","99,702",69.98%,"8,596","2,991","3,184",5,2076.382778,26.52959256,42,4.800995025,201,,,m365;office-365,business-owner;business-user,beginner,11,2021
1675,https://docs.microsoft.com/en-us/learn/modules/harness-business-intelligence-with-microsoft-365-analytics-reporting/,learn.wwl.harness-business-intelligence-with-microsoft-365-analytics-reporting,/learn/modules/harness-business-intelligence-with-microsoft-365-analytics-reporting/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-business-management-solutions/,Harness business intelligence with Microsoft 365 analytics and reporting,6,"7,909","54,826",84.29%,"6,821","2,876","3,168",1,519.1288889,7.889496792,19,4.833333333,228,,,m365;office-365,business-owner;business-user,beginner,11,2021
1676,https://docs.microsoft.com/en-us/learn/modules/get-done-stay-secure-with-windows-10/,learn.wwl.get-done-stay-secure-with-windows-10,/learn/modules/get-done-stay-secure-with-windows-10/,ms-900,https://docs.microsoft.com/en-us/learn/paths/m365-business-management-solutions/,Get more done and stay secure with Windows 10,8,"10,500","83,486",82.40%,"8,137","3,347","3,696",9,802.11,9.179210376,30,4.82208589,163,,,m365;office-365,business-owner;business-user,beginner,11,2021
1677,https://docs.microsoft.com/en-us/learn/modules/use-admin-options-cds/,learn-dynamics.use-admin-options-cds,/learn/modules/use-admin-options-cds/,pl-100,https://docs.microsoft.com/en-us/learn/paths/manage-permissions-administration-common-data-service/,Use administration options for Microsoft Dataverse,7,"4,201","33,441",84.21%,"3,831","1,610","1,530",1,418.8466667,12.00707119,44,4.795180723,83,,,dynamics-365;power-platform;common-data-service;power-apps,functional-consultant,intermediate,11,2021
1678,https://docs.microsoft.com/en-us/learn/modules/use-admin-options-cds/,learn-dynamics.use-admin-options-cds,/learn/modules/use-admin-options-cds/,pl-100,https://docs.microsoft.com/en-us/learn/paths/manage-permissions-administration-common-data-service/,Use administration options for Microsoft Dataverse,7,"4,201","33,441",84.21%,"3,831","1,610","1,530",1,418.8466667,12.00707119,44,4.795180723,83,,,dynamics-365;power-platform;common-data-service;power-apps,functional-consultant,intermediate,11,2021
1679,https://docs.microsoft.com/en-us/learn/modules/get-started-security-roles/,learn-dynamics.get-started-security-roles,/learn/modules/get-started-security-roles/,pl-100,https://docs.microsoft.com/en-us/learn/paths/manage-permissions-administration-common-data-service/,Get started with security roles in Microsoft Dataverse,11,"6,511","62,078",58.45%,"5,911","1,719","1,580",3,1363.050833,25.19502465,73,4.805555556,72,,,dynamics-365;power-platform;common-data-service;power-apps,functional-consultant,intermediate,11,2021
1680,https://docs.microsoft.com/en-us/learn/modules/get-started-security-roles/,learn-dynamics.get-started-security-roles,/learn/modules/get-started-security-roles/,pl-100,https://docs.microsoft.com/en-us/learn/paths/manage-permissions-administration-common-data-service/,Get started with security roles in Microsoft Dataverse,11,"6,511","62,078",58.45%,"5,911","1,719","1,580",3,1363.050833,25.19502465,73,4.805555556,72,,,dynamics-365;power-platform;common-data-service;power-apps,functional-consultant,intermediate,11,2021
1681,https://docs.microsoft.com/en-us/learn/modules/working-with-option-sets/,learn-dynamics.working-with-option-sets,/learn/modules/working-with-option-sets/,pl-100,https://docs.microsoft.com/en-us/learn/paths/get-started-cds/,Working with choices in Microsoft Dataverse,5,"4,911","29,791",80.33%,"4,374","1,752","1,857",1,362.285,8.872285714,16,4.71641791,67,,,dynamics-365;power-platform;common-data-service;power-apps,functional-consultant,beginner,11,2021
1682,https://docs.microsoft.com/en-us/learn/modules/working-with-option-sets/,learn-dynamics.working-with-option-sets,/learn/modules/working-with-option-sets/,pl-100,https://docs.microsoft.com/en-us/learn/paths/get-started-cds/,Working with choices in Microsoft Dataverse,5,"4,911","29,791",80.33%,"4,374","1,752","1,857",1,362.285,8.872285714,16,4.71641791,67,,,dynamics-365;power-platform;common-data-service;power-apps,functional-consultant,beginner,11,2021
