,LearningPathUid_x,LearningPathUrl,TotalModules,Certification,Title,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid_y,Roles,Products,Levels,Month,Year
110,learn.wwl.manage-identity-access,https://docs.microsoft.com/en-us/learn/paths/manage-identity-access/,5,az-500,AZ-500 part-1: Manage Identity and Access,5,"8,442","119,221",6.59%,"7,647",504,565,2180,47.81138751,620,337,learn.wwl.manage-identity-access,security-engineer,azure,intermediate,11,2021
111,learn.wwl.implement-platform-protection,https://docs.microsoft.com/en-us/learn/paths/implement-platform-protection/,4,az-500,AZ-500 part2: Implement platform protection,4,"3,185","44,906",11.52%,"2,595",299,348,2180,50.99349032,404,362,learn.wwl.implement-platform-protection,administrator;security-engineer,azure;azure-active-directory;azure-firewall,intermediate,11,2021
112,learn.wwl.designing-implementing-microsoft-azure-networking-solutions-az-700,https://docs.microsoft.com/en-us/learn/paths/design-implement-microsoft-azure-networking-solutions-az-700/,8,az-700,AZ-700 Designing and Implementing Microsoft Azure Networking Solutions,8,"8,239","76,711",2.78%,"6,471",180,202,2180,45.36951289,"1,245",567,learn.wwl.designing-implementing-microsoft-azure-networking-solutions-az-700,administrator;network-engineer,azure-application-gateway;azure-dns;azure-expressroute;azure-firewall;azure-firewall-manager;azure-front-door;azure-load-balancer;azure-network-watcher;azure-private-link;azure-traffic-manager;azure-virtual-network;azure-virtual-wan;azure-vpn-gateway,intermediate,11,2021
113,learn.wwl.manage-windows-servers-workloads-hybrid-environment,https://docs.microsoft.com/en-us/learn/paths/manage-windows-servers-workloads-hybrid-environment/,6,az-800,Manage Windows Servers and workloads in a hybrid environment,6,"6,416","97,460",115.56%,302,349,408,2180,18.92760547,52,241,learn.wwl.manage-windows-servers-workloads-hybrid-environment,administrator;solution-architect;technology-manager,azure;windows-server,intermediate,11,2021
114,learn.wwl.manage-virtualization-containers-hybrid-environment,https://docs.microsoft.com/en-us/learn/paths/manage-virtualization-containers-hybrid-environment/,8,az-800,Manage virtualization and containers in a hybrid environment,8,"1,738","17,894",21.59%,88,19,20,2180,22.63840621,28,412,learn.wwl.manage-virtualization-containers-hybrid-environment,administrator;solution-architect;technology-manager,windows-server,intermediate,11,2021
115,learn.wwl.implement-operate-premises-hybrid,https://docs.microsoft.com/en-us/learn/paths/implement-operate-premises-hybrid/,7,az-800,Implement and operate an on-premises and hybrid networking infrastructure,7,"8,547","97,372",79.77%,173,138,150,2180,24.68771499,32,425,learn.wwl.implement-operate-premises-hybrid,administrator;solution-architect;technology-manager,azure;windows-server,intermediate,11,2021
116,learn.wwl.deploy-manage-identity-infrastructure,https://docs.microsoft.com/en-us/learn/paths/deploy-manage-identity-infrastructure/,6,az-800,Deploy and manage identity infrastructure,6,"8,790","145,818",142.16%,185,263,296,2180,31.49066743,33,367,learn.wwl.deploy-manage-identity-infrastructure,administrator;solution-architect;technology-manager,windows-server,intermediate,11,2021
117,learn.wwl.configure-storage-file-services,https://docs.microsoft.com/en-us/learn/paths/configure-storage-file-services/,6,az-800,Configure storage and file services,6,"5,102","58,567",33.33%,159,53,54,2180,17.35267542,43,342,learn.wwl.configure-storage-file-services,administrator;solution-architect;technology-manager,windows-server,intermediate,11,2021
118,learn.az-900-describe-identity-governance-privacy-compliance-features,https://docs.microsoft.com/en-us/learn/paths/az-900-describe-identity-governance-privacy-compliance-features/,3,az-900,"Azure Fundamentals part 5: Describe identity, governance, privacy, and compliance features (AZ-900)",3,"47,192","709,378",31.28%,"36,987","11,569","13,007",2180,39.66729283,"27,618",92,learn.az-900-describe-identity-governance-privacy-compliance-features,administrator;data-engineer;developer;devops-engineer;business-analyst;business-user;solution-architect,azure;azure-active-directory;azure-policy;azure-blueprints;azure-rbac,beginner,11,2021
119,learn.az-900-describe-general-security-network-security-features,https://docs.microsoft.com/en-us/learn/paths/az-900-describe-general-security-network-security-features/,2,az-900,Azure Fundamentals part 4: Describe general security and network security features (AZ-900),2,"53,848","608,126",32.41%,"40,283","13,054","14,775",2180,30.91411628,"28,655",59,learn.az-900-describe-general-security-network-security-features,administrator;developer;business-analyst;business-user;solution-architect,azure,beginner,11,2021
120,learn.az-900-describe-core-solutions-management-tools-azure,https://docs.microsoft.com/en-us/learn/paths/az-900-describe-core-solutions-management-tools-azure/,6,az-900,Azure Fundamentals part 3: Describe core solutions and management tools on Azure (AZ-900),6,"64,072","1,384,423",23.73%,"55,824","13,245","14,733",2180,43.51693511,"34,505",140,learn.az-900-describe-core-solutions-management-tools-azure,administrator;developer;business-owner;student;technology-manager,azure;azure-cognitive-services;azure-machine-learning;azure-bot-service;azure-devops;azure-advisor;azure-monitor;azure-service-health;azure-portal;azure-clis;azure-resource-manager;azure-functions;azure-logic-apps;azure;azure-iot-hub;azure-iot-central,beginner,11,2021
121,learn.az-900-describe-core-azure-services,https://docs.microsoft.com/en-us/learn/paths/az-900-describe-core-azure-services/,4,az-900,Azure Fundamentals part 2: Describe core Azure services (AZ-900),4,"119,133","1,816,061",17.46%,"92,491","16,153","18,250",2180,47.52622433,"41,908",160,learn.az-900-describe-core-azure-services,administrator;solution-architect;developer;student,azure;azure-app-service;azure-blob-storage;azure-container-instances;azure-container-registry;azure-cosmos-db;azure-databricks;azure-data-lake;azure-expressroute;azure-files;azure-hdinsight;azure-kubernetes-service;azure-sql-database;azure-storage;azure-storage-accounts;azure-synapse-analytics;azure-virtual-machines;azure-virtual-network;azure-vpn-gateway,beginner,11,2021
